movieId,title,genres,storyline,country,language,director,release_year,runtime,age_rating,tag_1,tag_2,tag_3
1656,Swept from the Sea (1997),Drama|Romance,"The film tells the story of Russian émigré, and the only survivor from ship crash Yanko Goorall, and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after the shipwreck, everyone is afraid of him, except for Amy, who is very kind and helps him. Soon he becomes like a son for Dr. James Kennedy and romance between Yanko and Amy follows.",United Kingdom,English,Beeban Kidron,1997.0,1 hour 55 minutes,Rated PG-13 for elements of theme and some sensuality,bullying,immigrant,period drama
1658,"Life Less Ordinary, A (1997)",Romance|Thriller,"Ewan McGregor stars as a cleaning man in Los Angeles, who takes his boss' daughter hostage after being fired and replaced by a robot. Two ""angels"", who are in charge of human relationships on Earth, offer some unsolicited help to bring this unlikely couple together. —<CherylC894@aol.com>",United Kingdom,English,Danny Boyle,1997.0,1 hour 43 minutes,15,angel,kidnapping,dreamer
1659,Hurricane Streets (1997),Drama,"Marcus is a kid on Manhattan's mean streets. He's turning 15, his father is dead, his mother is in prison for smuggling undocumented aliens. His grandmother is raising him. He has four close buddies who have a basement clubhouse; they shoplift and sell the wares to kids. One is moving toward selling drugs. Marcus wants to take a breather from the city and visit family in New Mexico. He also meets Melena, 14, a sweet kid who dreams of going to Alaska; her father is not just protective but angry and uncommunicative. The gang pressures Marcus to move up to burglary and car theft. He just wants to breathe open air. Can anything go right? —<jhailey@hotmail.com>",United States,English,Morgan J. Freeman,1997.0,1 hour 26 minutes,"Rated R for language, violence and drug use involving teens",wife murders her husband,husband wife relationship,playing pinball
1660,Eve's Bayou (1997),Drama,"The story is set in 1962 Louisiana. The Batiste family is headed by charming doctor Louis. Though he is married to beautiful Roz, he has a weakness for attractive female patients. One night Louis trysts with married and sexy Metty Mereaux, not knowing that he is observed by his youngest daughter Eve, who is there by accident. Eve can not forget the traumatic incident and shares a secret with older sister Cisely. Lies start to roll... —Anonymous",United States,"English, French",Kasi Lemmons,1997.0,1 hour 48 minutes,15,implied incest,louisiana,witchcraft
1661,Switchback (1997),Crime|Mystery|Thriller,"F.B.I. agent Frank LaCrosse returns home to find his home has been broken into, his son is missing and Missy the babysitter is lying in a pool of her own insides. Her murder being the hallmarks of a elusive enigmatic serial killer whose slaughter spree...stretches nearly two years. Frank's desperate pursuit leads to Amarillo, Texas, where two more victims matching the killers M.O. have been found slashed to death. As Frank searches for his suspect the local Sheriff Buck Olmstead and his Deputy Nate Booker investigate the killings in-between a heated election feud, with his competition police chief Jack McGinnis. All the while drifting former doctor Lane Dixon is picked up by ex-railroad man, Bob Goodall. As a local Mechanic, Clyde 'Shorty' Callahan becomes the latest victim. Frank hopes and prays to find this sociopath before he disappears perhaps forever into the rocky mountains —Suspicious",United States,English,Jeb Stuart,1997.0,1 hour 58 minutes,15,african american,framed for murder,villain
1662,Gang Related (1997),Crime,"Two corrupt cops murder an undercover DEA agent by mistake, and frantically try to cover their tracks by framing a homeless man for the crime. That involves juggling evidence, coaching witnesses, and improvising to keep their desperate scheme from unraveling. —<rozebud@compuserve.com>",United States,English,Jim Kouf,1997.0,1 hour 56 minutes,18,stripper,rogue cop,murder of a police officer
1663,Stripes (1981),Comedy|War,"At the end of a very bad day when he realizes his life has gone and is going nowhere, John Winger is able to convince his best friend, Russell Ziskey, whose life is not much better, to enlist in the army, despite they not being obvious soldier material. In basic training, they are only two of a bunch of misfits that comprise their platoon. However, it is still John that is constantly butting heads with their drill sergeant, Sergeant Hulka. Two of their saving graces are Stella and Louise, two MPs who get them out of one scrape after another. Their entire platoon is in jeopardy of not graduating. But what happens during basic leads to their entire platoon being assigned to an overseas mission in Italy, to test a new urban assault vehicle, the EM-50 project. John and Russell decide to take the EM-50 for an unauthorized test drive to visit Stella and Louise who have been reassigned to West Germany. In the process, the rest of the platoon, Hulka, and Hulka's immediate superior, self-absorbed Captain Stillman, get caught unofficially behind enemy Communist lines in Czechoslovakia. John and Russell, with Stella and Louise's help, will have to show their true mettle as US army soldiers and in the process test the capabilities of the EM-50 to rescue their platoon without the rest of the US army knowing what's going on, and thus without any assistance beyond themselves. —Huggo",United States,"English, Russian, Polish",Ivan Reitman,1981.0,1 hour 46 minutes,"Rated R for sexuality/nudity, language and some drug use",u.s. soldier,u.s. army,misfit
1665,Bean (1997),Comedy,"Bean (Rowan Atkinson) works as a caretaker at Britain's formidable Royal National Gallery, and his bosses want to fire him because he sleeps at work all the time, but can't because the chairman of the gallery's board defends him. They send him to the U.S., to the small Los Angeles art gallery instead, where he'll have to officiate at the opening of the greatest U.S. picture ever (called ""Whistler's Mother"").",United Kingdom,English,Mel Smith,1997.0,1 hour 29 minutes,12,california,los angeles california,1990s
1667,Mad City (1997),Action|Drama,"Sam Baily, upset over losing his job, takes a natural history museum hostage. Max Brackett, journalist, is in the museum when this occurs and gets the scoop. The story spreads nationwide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it. —<freckles@vivid.net>",United States,English,Costa-Gavras,1997.0,1 hour 54 minutes,15,hostage,museum,natural history museum
1670,Welcome to Sarajevo (1997),Drama|War,"American and British journalists Flynn and Michael Henderson, along with their respective news teams, meet at the beginning of the Bosnian war in Sarajevo. During their reports, the group find an orphanage run by the devoted Mrs. Savic near the frontline. Feeling sympathy, Henderson decides to take one of the children, Emira, illegally back to England.",United Kingdom,"English, Serbian, Bosnian",Michael Winterbottom,1997.0,1 hour 43 minutes,Rated R for brutal images/war atrocities and language,split croatia,swimming with clothes on,graffiti
1671,Deceiver (1997),Crime|Drama|Thriller,"Textile company heir James Wayland (Tim Roth) is accused of murder of a prostitute named Elizabeth (Renée Zellweger), whose body was found cut in two in the park. The murder is investigated by tough Detective Edward Kennesaw (Michael Rooker) and his less experienced partner Phillip Braxton (Chris Penn). Wayland is a heavy drinker and compulsive liar, he is prone to memory losses and periods of heavy violence. He is rich enough to access necessary information, and he gets the interrogators' own dark secrets - Kennesaw is angry about affairs his wife had and had let off steam with Elizabeth, and Braxton has gambling debts with Mook (Ellen Burstyn), who is demanding payment.",United States,"English, Spanish",Jonas Pate,1997.0,1 hour 46 minutes,18,murder,violence,textile company
1672,"Rainmaker, The (1997)",Drama,"Rudy Baylor is a young attorney out to make a difference in the justice system. He is also the only hope of an elderly couple after their corrupt insurance company refuses to pay out a claim that could save their child's life. In this judicial drama, Baylor rails against corporate lawyers, corrupt judges, and abusive husbands, all with the help of a fellow lawyer who hasn't even passed his bar exam. He is facing long odds in the courtroom - and this is only his first case. —Steve Richer <sricher@sympatico.ca>",United States,English,Francis Ford Coppola,1997.0,2 hours 15 minutes,15,insurance company,courtroom drama,lawyer
1673,Boogie Nights (1997),Drama,"Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting. —garykmcd",United States,English,Paul Thomas Anderson,1997.0,2 hours 35 minutes,(Banned),porn industry,1970s,adult entertainment industry
1674,Witness (1985),Drama|Romance|Thriller,"An 8 year old Amish boy and his mother are traveling to Philadelphia, on their way to visit the mother's sister. While waiting at the train station, the young boy witnesses a brutal murder inside one of the bathroom stalls. Police detective John Book is assigned to investigate the murder of the man, who was an undercover cop. Soon after, Book finds out that he's in great danger when the culprits know about his investigation and hides out in the Amish community. There, he learns the way of living among the Amish locals, which consists of non-violence and agriculture. Book soon starts a romance with the mother of the little boy, but their romance is forbidden by the Amish standards. But, it's not long before the bad guys find out Book's whereabouts. —blazesnakes9",United States,"English, German",Peter Weir,1985.0,1 hour 52 minutes,12,female nudity,amish,murder
1675,Incognito (1997),Crime|Thriller,"Harry Donovan is an art forger who paints a fake Rembrandt picture for $500,000. Marieke, the woman he meets in Paris and gets into bed with, turns out to be the art expert whom Harry's clients are using to check the counterfeit picture he painted.",United States,English,John Badham,1997.0,1 hour 48 minutes,18,nude model,female nudity,father son relationship
1676,Starship Troopers (1997),Action|Sci-Fi,"In a not-so-distant future, with the Earth governed by the militaristic United Citizen Federation and multitudes of highly evolved Klendathu Arachnids threatening the safety of our solar system, high-school athlete Johnny Rico and three of his hometown friends join up to do their part. And to ensure humankind's future, an all-out invasion has begun; however, in this far-off exoplanet hostile to life as we know it, brute force alone and conventional strategies won't cut it. Now, the unstoppable Bug Army is at the gates. Will Rico and his fellow Starship Troopers end up serving as cannon fodder? —Nick Riganas",United States,English,Paul Verhoeven,1997.0,2 hours 9 minutes,18,space war,giant insect,future war
1677,Critical Care (1997),Comedy|Drama,"Dr. Werner Ernst (James Spader) is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his ten million dollar estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient? —Martin Lewison <mlewison@utk.edu>",Australia,English,Sidney Lumet,1997.0,1 hour 47 minutes,Rated R for language and a scene of sexuality,medical drama,satire comedy,dark comedy
1678,"Joy Luck Club, The (1993)",Drama|Romance,"Through a series of flashbacks, four young chinese women born in America and their respective mothers born in feudal China, explore their past. This search will help them understand their difficult mother/daughter relationship. —Robert Pare",United States,"English, Mandarin, Cantonese",Wayne Wang,1993.0,2 hours 19 minutes,15,china,abandoned baby,mother abandons daughter
1679,Chairman of the Board (1998),Comedy,"Surfer and inventor Edison (Scott ""Carrot Top"" Thompson) is chosen by his roommates to raise rent with his outrageous (and absurd) inventions. There's no luck in job interviews until he meets billionaire Armand McMillan (Jack Warden), who likes him, and leaves his company after his death to Edison. Edison has a lot of success with his inventions while the company's competitors do all they can to destroy him.",United States,English,Alex Zamm,1997.0,1 hour 35 minutes,Rated PG-13 for crude and sex related humor and language,bare chested male,public nudity,embarrassing nudity
1680,Sliding Doors (1998),Drama|Romance,"In London, the public relation Helen is fired from her position in a PR company. While returning home, she does not catch the train in the subway. But in another possibility of her life, she catches the train in the subway. The story shows two parallel lives of Helen: in one life, she stays with her boyfriend Gerry, and in the other life, she finds that Gerry cheats her with Lydia and falls in love with James Hammerton. —Claudio Carvalho, Rio de Janeiro, Brazil",United Kingdom,English,Peter Howitt,1998.0,1 hour 39 minutes,18,multiple outcomes,twist of fate,serendipity
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy,"Mortal Kombat is an ancient tournament where the Earth Realm warriors battle against the forces of Outworld. Liu Kang and a few chosen fighters fought and defeated the powerful sorcerer Shang Tsung, their victory would preserve the peace on Earth for one more generation. Taking place now where the first movie left off, the Earth realm warriors live a short period of peace when evil forces from another dimension come to invade and wreak havoc on Earth. They are guided by the forces of Outworld leader, Shao Kahn and his generals such as: Motaro, Rain, Ermac, Sheeva, and Sindel. Now Liu Kang, Raiden, Jax, Sonya, and Kitana must defeat Shao Kahn in six days before the Earth realm merges with the Outworld. —Emphinix",United States,English,John R. Leonetti,1997.0,1 hour 35 minutes,15,based on video game,so bad it's good,supernatural fantasy
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,"Since birth, a big fat lie defines the well-organised but humdrum life of the kind-hearted insurance salesman and ambitious explorer, Truman Burbank. Utterly unaware of the thousands of cleverly hidden cameras watching his every move, for nearly three decades, Truman's entire existence pivots around the will and the wild imagination of the ruthlessly manipulative television producer, Christof--the all-powerful TV-God of an extreme 24/7 reality show: The Truman Show. As a result, Truman's picturesque neighbourhood with the manicured lawns and the uncannily perfect residents is nothing but an elaborate state-of-the-art set, and the only truth he knows is what the worldwide television network and its deep financial interests dictate. Do lab rats know they are forever imprisoned? —Nick Riganas",United States,English,Peter Weir,1998.0,1 hour 43 minutes,15,hidden camera,simulated reality,fictional reality show
1683,"Wings of the Dove, The (1997)",Drama|Romance,"Kate Croy's (Helena Bonham Carter's) mother was born to wealth and privilege, but she threw it all away to marry Kate's Father (Sir Michael Gambon), a penniless opium addict who admits to having stolen from his wife. After her mother's death, Kate is offered an opportunity to return to the life her mother gave up. There is one condition, however: Kate must sever all of her old ties, not only to her father, but also to her lover, the muck-raking journalist Merton Densher (Linus Roache), whom she has promised marriage. Kate reluctantly agrees to this, and in the meantime becomes friendly with ""the world's richest orphan"", Milly Theale (Alison Elliott), an American making the Grand Tour. Desperate to see Kate, Merton crashes a party that she and Milly are attending, and Milly is attracted to him. When Kate learns that Milly is dying, she comes up with a plan to have her cake and eat it too, but all does not go as planned. —RK",United States,English,Iain Softley,1997.0,1 hour 42 minutes,18,based on novel,horse and carriage,art gallery
1684,Mrs. Dalloway (1997),Drama|Romance,"London, summer 1923. Clarissa (Vanessa Redgrave), Member of Parliament Richard Dalloway's (Sir John Standing's) wife, sets out on a beautiful morning; she's shopping for flowers for her party that evening. At the same time Septimus Warren Smith (Rupert Graves), a young man who survived the battlefields of Europe, is suffering from a nightmarish delayed on-set form of shell shock. Clarissa's nearly-grown daughter is distant, and preoccupied. In the course of one day, Peter (Michael Kitchen), Clarissa's passionate old suitor, returns from India and is invited to her party, Septimus commits suicide, Clarissa relives a day in her youth (and her reasons for her choice of a life with the reliable Richard Dalloway). —Eileen Berdon <eberdon@aol.com>",United Kingdom,English,Marleen Gorris,1997.0,1 hour 37 minutes,12,female full frontal nudity,lesbian subtext,lesbian
1685,"I Love You, I Love You Not (1996)",Drama|Romance,Prep school student Daisy and her European-born grandmother Nana share the sad stories of their lives: Daisy tells Nana of her romance with young Ethan and problems in school because she's Jewish; and Nana tells of her young years under Nazis when she was sent to ghetto and then to concentration camp. —Anonymous,United Kingdom,"German, Polish, English",Billy Hopkins,1996.0,1 hour 28 minutes,15,concentration camp,reading,nightmare
1686,Red Corner (1997),Crime|Thriller,"American lawyer Jack Moore is in Beijing on what looks to be a successful business trip for his company to enter into a film and television distribution deal with the Chinese government, their main competitor for that distribution deal being HoffCo Telecom out of Germany. Before Jack's boss David McAndrews and the Chinese government sign on the dotted line of the contract, Jack is implicated in a murder, the victim who was discovered in his hotel room. The police were alerted to an incident in his hotel room based on the report of hearing a scream emanating from his room, such a scream which Jack, asleep in the room when the police entered, did not hear. Jack being charged with murder quashes the distribution deal, which instead is awarded to HoffCo. The situation is made all the worse for Jack due to the known connections between the victim and people within high places in China, who may try to manipulate the situation to see Jack sentenced to death for the murder. Jack also has language, cultural and political obstacles to overcome, the Chinese government and thus the court system which seems already to have convicted him to make him, a foreigner, an example. As such, Jack does not trust his court appointed lawyer, a young woman named Shen Yuelin who has always seen her role to carry out Chinese government policy. Things may change when Yuelin begins to believe that Jack is being framed for the murder, the death of an innocent man which she may not be able to tolerate if she has any sway within the Chinese justice system, which she may find she does not. The key to discovering the truth behind the murder, the reason for Jack being framed for it and Jack possibly coming out the other end with his life is an important piece of physical evidence which he knows exists but which seems to be missing. —Huggo",United States,"English, Mandarin",Jon Avnet,1997.0,2 hours 2 minutes,18,female topless nudity,female rear nudity,assassination attempt
1687,"Jackal, The (1997)",Action|Thriller,"In Moscow, the FBI and their Russian counterpart, the MVD, are working on a joint mission to apprehend Russian mobster Ghazzi Murad specifically for the murder of Mayor Nikolai Semankho. During the arrest, they are forced to kill Ghazzi. Ghazzi's brother, Terek Murad, also a mobster, begins his own form of deadly retribution against the MVD for Ghazzi's death. But the FBI and MVD also get wind that Terek has hired an assassin by the code name Jackal to carry out a hit on a high profile but unknown American target for the Americans sticking their nose in Russian affairs. Intelligence points to that target being Donald Brown, the Director of the FBI. The Jackal is known only by name and reputation but no one in authority knows who he is, what he looks like or if he even really exists. They learn of only one person alive who they know has had ties to the Jackal: former Basque separatist Isabella Zanconia, whose whereabouts are unknown. As such, the FBI and MVD decide to turn to the one person they know who has had ties to Isabella: Declan Mulqueen, who is currently in an American prison serving twenty-five years for his deadly IRA activities. To their surprise, Declan purports to have met the Jackal. Although they are unable to meet all his demands including not being able to guarantee his release and return back to Ireland after all is said and done, Declan agrees to help them on the promise that they will do their best to meet that request. What happens is largely a function of Declan's relationship with his two handlers, the MVD's Major Valentina Koslova and FBI Deputy Director Carter Preston, the latter in particular who does not fully trust Declan. It is also affected by the nature of the history between Declan, Isabella and the Jackal. Through it all, Declan may, if given the opportunity, do what Carter believes he will do, which is run without keeping to his side of the bargain. —Huggo",United States,"English, Russian, French, Spanish",Michael Caton-Jones,1997.0,2 hours 4 minutes,18,mariachi band,scantily clad female,bikini
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical,"The daughter of the last Russian Czar, Nicolas II (Rick Jones), Anastasia (Meg Ryan) is found by two Russian con men, Dimitri (John Cusack) and Vladimir (Kelsey Grammer), who seek the reward that her grandmother, the Dowager Empress Marie Feodorovna (Dame Angela Lansbury), promised to the ones who'll find her. But the evil mystic of the Czar family, Grigori Rasputin (Christopher Lloyd), still wants the Romanov family to be destroyed forever.",United States,"English, Russian, French",Don Bluth,1997.0,1 hour 34 minutes,All,russia,amnesia,female protagonist
1689,"Man Who Knew Too Little, The (1997)",Comedy|Crime|Thriller,"American Wallace Ritchie (Bill Murray) gets a ticket for an audience participation game in London, England, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",United States,English,Jon Amiel,1997.0,1 hour 34 minutes,12,mistaken identity,secret agent,american in the uk
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,"The saga continues 200 years after Ripley sacrificed herself for the sake of humanity. Her erstwhile employers long gone, this time it is the military that resurrects the one-woman killing machine through genetic cloning to extract the alien from within her, but during the process her DNA is fused with the queen and then the aliens escape. Now Ripley must decide where her allegiance lies.",United States,"English, Spanish",Jean-Pierre Jeunet,1997.0,1 hour 49 minutes,15,pregnant alien,pirate,alien
1693,Amistad (1997),Drama|Mystery,"Amistad is the name of a slave ship travelling from Cuba to the U.S. in 1839. It is carrying a cargo of Africans who have been sold into slavery in Cuba, taken on board, and chained in the cargo hold of the ship. As the ship is crossing from Cuba to the U.S., Cinque (Djimon Hounsou), who was a tribal leader in Africa, leads a mutiny and takes over the ship. They continue to sail, hoping to find their way back to Africa. Instead, they are misdirected and when they reach the United States, they are imprisoned as runaway slaves. They don't speak a word of English, and it seems like they are doomed to die for killing their captors when an abolitionist lawyer decides to take their case, arguing that they were free citizens of another country and not slaves at all. The case finally gets to the Supreme Court, where John Quincy Adams (Sir Anthony Hopkins) makes an impassioned and eloquent plea for their release. —M Parkinson, Sarasota, FL, USA",United States,"English, Mende, Spanish, Portuguese",Steven Spielberg,1997.0,2 hours 35 minutes,15,male full frontal nudity,ship,slave ship
1694,"Apostle, The (1997)",Drama,"Eulis 'Sonny' Dewey is a preacher from Texas living a happy life with his beautiful wife Jessie. Suddenly his stable world crumbles: Jessie is having an affair with young minister Horace. Sonny gets enraged and hits Horace with a softball bat, putting him into a coma. After that he leaves town, takes a new name, 'Apostle E.F.' and goes to Louisiana. There he starts to work as a mechanic for local radio station owner Elmo, and Elmo lets him preach on the radio. E.F. starts to preach everywhere: on the radio, on the streets, and with his new friend, Reverend Blackwell he starts a campaign to renovate an old church. —Anonymous",United States,English,Robert Duvall,1997.0,2 hours 14 minutes,12,evangelical,preacher,southern gothic
1695,Artemisia (1997),Drama,"Artemisia Gentileschi (1593-1653) was one of the first well-known female painters. The movie tells the story of her youth, when she was guided and protected by her father, the painter Orazio Gentileschi. Her professional curiosity about the male anatomy, forbidden for her eyes, led her to the knowledge of sexual pleasure. But she was also well known because in 1612 she had to appear in a courtroom because her teacher, Agostino Tassi, was suspected of raping her. She tried to protect him, but was put in the thumb screws... —kipjohn <saskia@virtualbears.com>",France,French,Agnès Merlet,1997.0,1 hour 38 minutes,"Rated R on appeal for strong, graphic sexuality and nudity",male frontal nudity,female full frontal nudity,f rated
1696,Bent (1997),Drama|War,"Max is gay and as such is sent to Dachau concentration camp under the Nazi regime. He tries to deny he is gay, and gets a yellow label (the one for Jews) instead of pink (the one for gays). In camp, he falls in love with fellow prisoner Horst, who wears his pink label with pride.",United Kingdom,English,Sean Mathias,1997.0,1 hour 45 minutes,Rated NC-17 for a strong scene of graphic sexuality,male full frontal nudity,pubic hair,male nudity
1699,"Butcher Boy, The (1997)",Comedy|Drama,"Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences. —yusufpiskin",Ireland,English,Neil Jordan,1997.0,1 hour 50 minutes,15,altar boy,sexual abuse,boy
1701,Deconstructing Harry (1997),Comedy|Drama,"Harry Block is a well-regarded novelist whose tendency to thinly-veil his own experiences in his work, as well as his un-apologetic attitude and his proclivity for pills and whores, has left him with three ex-wives that hate him. As he is about to be honored for his writing by the college that expelled him, he faces writer's block and the impending marriage of his latest flame to a writer friend. As scenes from his stories and novels pass and interact with him, Harry faces the people whose lives he has affected - wives, lovers, his son, his sister. —Gary Dickerson <slug@mail.utexas.edu>",United States,"English, Hebrew",Woody Allen,1997.0,1 hour 36 minutes,18,lucifer morningstar character,death character,whoremonger
1702,Flubber (1997),Children|Comedy|Fantasy,"Having already missed his wedding to his beautiful sweetheart, Sara, twice, the happy, absent-minded professor, Dr. Phillip Brainard, is struggling to come up with a brilliant invention to save Medfield College from closure. However, as good things come to those who wait, the eccentric inventor stumbles upon an innovative but highly unstable formula for ""Flubber"", a mysterious rubber-like hybrid elastomer that can lift objects, bouncing and stretching as if it had a mind of its own. Of course, this unique but untamed creation catches the attention of a ruthless rival who is bent on getting his hands on the extraordinary substance. But first, he will have to catch it. Can Dr. Brainard protect his invention? —Nick Riganas",United States,English,Les Mayfield,1997.0,1 hour 33 minutes,All,flubber,wedding,college
1703,For Richer or Poorer (1997),Comedy,"Brad and Caroline Sexton, an incredibly rich but miserable couple, get framed by their accountant and flee from the IRS to the one place where nobody would look for them: Amish country. Now they must do their best to blend into their sheltering community--and perhaps they will learn to love each other all over again. —LIIT",United States,English,Bryan Spicer,1997.0,1 hour 55 minutes,15,lawyer,wealth,impersonation
1704,Good Will Hunting (1997),Drama|Romance,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart. —Dima & Danielle",United States,English,Gus Van Sant,1997.0,2 hours 6 minutes,12,professor,genius,mathematical genius
1707,Home Alone 3 (1997),Children|Comedy,"Four high-tech industrial spies, Beaupre, Alice, Jernigan and Unger, steal a top-secret microchip, and, to fool customs, hide it in a remote-control toy car. Through a baggage mix-up at the airport, grumpy old Mrs.Hess gets the toy and gives it to her neighbor, 8-year-old Alex. Spies want to get the toy back before their clients get angry and decide to burglarize every house at Alex's street to find the chip. But Alex is prepared for their visit... —Anonymous",United States,"English, Polish",Raja Gosnell,1997.0,1 hour 42 minutes,All,chicken pox,home invasion,silicon valley california
1711,Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery,"This panoramic tale of Savannah, Georgia's eccentricities focuses on a murder and the subsequent trial of James Arthur Williams (Kevin Spacey): self made man, art collector, antiques dealer, bon vivant, and semi-closeted homosexual. Magazine reporter John Kelso (John Cusack) finds himself in Savannah amid the beautiful architecture and odd doings to write a feature on one of William's famous Christmas parties. He is intrigued by Williams from the start, but his curiosity is piqued when he meets Jim's violent, sexy lover, Billy Hanson (Jude Law). Later that night, Billy is found dead, and Kelso stays on to cover the murder trial. Along the way, he encounters the irrepressible Chablis Deveau (Lady Chablis), a drag-queen comedienne; Sonny Seiler (Jack Thompson), lawyer to Williams, whose famous dog Uga, is the official mascot of the Georgia Bulldogs; an odd man who keeps flies attached to mini leashes on his lapels and threatens daily to poison the water supply; the Married Ladies' Card Club; and Minerva (Irma P. Hall), a spiritualist. Kelso has his hands full being Jim's buddy, cuddling up to a torch singer, meeting every eccentric in Savannah, participating in midnight graveyard rituals, and helping solve the mysteries surrounding Billy's murder. —Teresa B. O'Donnell <sun.moon.stars@worldnet.att.net>",United States,"English, French",Clint Eastwood,1997.0,2 hours 35 minutes,Rated R for language and brief violence,homosexual,savannah georgia,antonyms in title
1713,Mouse Hunt (1997),Children|Comedy,"A family film about a mouse that lives in an old house where the geriatric owner dies, and Ernie and Lars Smuntz have plans for, but they have trouble getting rid of the mouse. It's like Home Alone with a mouse. —ShowBob <showbob@geocities.com>",United States,English,Gore Verbinski,1997.0,1 hour 38 minutes,All,mouse,factory,restaurant
1717,Scream 2 (1997),Comedy|Horror|Mystery|Thriller,"Two years after the events of Scream, Sidney Prescott and Randy are attending Windsor college. They are trying to get on with their lives...Until a new Ghostface killing spree begins. With the help of Dewey and Gale, Sidney must find out who's behind the murders. As the body count goes up, the list of suspects goes down.",United States,English,Wes Craven,1997.0,2 hours,18,villain,serial murder,murder spree
1718,Stranger in the House (1997),Thriller,"A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!",Canada,English,Rodney Gibbons,1997.0,1 hour 34 minutes,"Rated R for violence, language and some sexuality",double barreled shotgun,basement,bed and breakfast
1719,"Sweet Hereafter, The (1997)",Drama,"A small community is torn apart by a tragic accident which kills most of the town's children. A lawyer visits the victims' parents in order to profit from the tragedy by stirring up their anger and launching a class action suit against anyone they can blame. The community is paralyzed by its anger and cannot let go. All but one young girl, left in a wheelchair after the accident, who finds the courage to lead the way toward healing. —Matthew Tichenor <mticheno@direct.ca>",Canada,English,Atom Egoyan,1997.0,1 hour 52 minutes,Rated R for sexuality and some language,pied piper of hamelin,falling through ice,female full frontal nudity
1721,Titanic (1997),Drama|Romance,"84 years later, a 100 year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. —Anthony Pereyra <hypersonic91@yahoo.com>",United States,"English, Swedish, Italian, French",James Cameron,1997.0,3 hours 14 minutes,15,iceberg,love affair,drowning
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller,"Agent James Bond 007 (Pierce Brosnan) is on a mission which includes a media tycoon, his former lover and a Chinese Agent. Elliot Carver (Jonathan Pryce) wants to complete his global media empire, but in order for this to work, he must achieve broadcasting rights in China. Carver wants to start up World War III by starting a confrontation over British and Chinese waters. Bond gains the help of Wai Lin (Michelle Yeoh) on his quest to stop him, but how will Bond feel when he meets up with his former lover, Paris (Teri Hatcher), who is now Carver's wife. —simon",United Kingdom,"English, German, Danish, Mandarin, Cantonese",Roger Spottiswoode,1997.0,1 hour 59 minutes,15,official james bond series,megalomaniac,media tycoon
1726,"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi,"2013,Post-Apocalyptic America. An unnamed wanderer retrieves a Postman's uniform and undelivered bag of mail. He decides to pose as a postman and deliver the mail to a nearby town, bluffing that the United States government has been reinstated and tricking the town into feeding him. However, he reluctantly becomes a symbol of hope to the townspeople there who begin to remember the world that once was and giving them the courage to stand up to a tyrannical warlord and his army.",United States,English,Kevin Costner,1997.0,2 hours 57 minutes,18,reference to shakespeare's julius caesar,female topless nudity,drifter
1727,"Horse Whisperer, The (1998)",Drama|Romance,"Teenager Grace MacLean (Scarlett Johansson) is riding her horse and is hit by a truck. To help heal her troubled and injured daughter, and horse, the mother, Annie MacLean (Dame Kristin Scott Thomas), takes them to Montana to recuperate at the ranch of Tom Booker (Robert Redford), a ""horse whisperer"", a horse healer of mystical talents. Annie proceeds to fall in love with him, as well. —Dan <fpdj@intergate.bc.ca>",United States,English,Robert Redford,1998.0,2 hours 49 minutes,12,horse movie,girl horse relationship,man horse relationship
